ENTRY NO.,START,END,ON THE CLOCK
1,7/3/2022 8:00,7/3/2022 8:47,0:47
2,7/4/2022 16:18,7/4/2022 18:26,2:08
3,7/4/2022 18:58,7/4/2022 19:58,1:00
4,7/5/2022 8:42,7/5/2022 9:25,0:41
5,7/5/2022 10:26,7/5/2022 10:48,0:22
6,7/5/2022 16:42,7/5/2022 17:38,0:56
7,7/5/2022 17:38,7/5/2022 18:07,0:29
8,7/6/2022 17:12,7/6/2022 19:18,2:01
9,7/7/2022 15:23,7/7/2022 16:22,0:59
10,7/7/2022 16:43,7/7/2022 17:18,0:35
11,7/7/2022 17:49,7/7/2022 19:07,1:17
12,7/8/2022 14:17,7/8/2022 15:11,0:27
13,7/9/2022 7:18,7/9/2022 14:29,3:26
14,7/9/2022 17:05,7/9/2022 17:55,0:50
15,7/9/2022 18:56,7/9/2022 19:09,0:13
16,7/10/2022 7:23,7/10/2022 10:01,2:17
17,7/10/2022 10:37,7/10/2022 12:08,1:31
18,7/10/2022 12:35,7/10/2022 12:43,0:08
19,7/10/2022 16:53,7/10/2022 17:31,0:38
20,7/11/2022 9:28,7/11/2022 10:12,0:41
21,7/11/2022 11:33,7/11/2022 14:12,1:02
22,7/11/2022 15:21,7/11/2022 17:15,1:54
23,7/12/2022 6:30,7/12/2022 9:50,1:42
24,7/12/2022 16:30,7/12/2022 17:38,0:52
25,7/12/2022 18:09,7/12/2022 19:09,1:00
26,7/13/2022 13:35,7/13/2022 17:48,2:34
27,7/13/2022 19:17,7/13/2022 20:14,0:57
28,7/14/2022 8:45,7/14/2022 11:11,1:56
29,7/14/2022 16:58,7/14/2022 18:21,1:07
30,7/15/2022 14:38,7/15/2022 17:35,1:52
31,7/15/2022 17:37,7/15/2022 17:44,0:07
32,7/16/2022 11:03,7/16/2022 12:15,1:12
33,7/16/2022 15:11,7/16/2022 15:40,0:29
34,7/16/2022 15:46,7/16/2022 16:41,0:55
35,7/16/2022 17:04,7/16/2022 17:42,0:38
36,7/17/2022 8:19,7/17/2022 10:41,2:22
37,7/17/2022 17:20,7/17/2022 17:58,0:38
38,7/18/2022 10:18,7/18/2022 11:14,0:56
39,7/18/2022 14:02,7/18/2022 14:20,0:18
40,7/18/2022 14:26,7/18/2022 15:07,0:41
41,7/18/2022 16:48,7/18/2022 16:59,0:11
42,7/18/2022 17:03,7/18/2022 17:51,0:48
43,7/18/2022 17:56,7/18/2022 18:00,0:04
44,7/18/2022 19:12,7/18/2022 19:41,0:29
45,7/19/2022 8:02,7/19/2022 8:17,0:15
46,7/19/2022 14:26,7/19/2022 15:08,0:42
47,7/19/2022 15:09,7/19/2022 15:18,0:09
48,7/19/2022 17:45,7/19/2022 17:49,0:04
49,7/19/2022 17:56,7/19/2022 18:21,0:25
50,7/20/2022 9:15,7/20/2022 10:17,1:02
51,7/20/2022 17:45,7/20/2022 18:31,0:46
52,7/20/2022 18:56,7/20/2022 19:14,0:18
53,7/21/2022 9:25,7/21/2022 9:42,0:17
54,7/21/2022 9:47,7/21/2022 10:21,0:34
55,7/21/2022 10:40,7/21/2022 11:16,0:36
56,7/21/2022 17:26,7/21/2022 18:23,0:57
57,7/22/2022 7:41,7/22/2022 8:20,0:39
58,7/22/2022 9:16,7/22/2022 9:53,0:37
59,7/22/2022 16:32,7/22/2022 18:25,1:53
60,7/23/2022 8:27,7/23/2022 10:21,1:54
61,7/24/2022 10:15,7/24/2022 10:46,0:31
62,7/28/2022 8:26,7/28/2022 10:18,1:52
63,7/28/2022 10:28,7/28/2022 10:54,0:26
64,7/28/2022 17:44,7/28/2022 17:46,0:02
65,7/28/2022 18:16,7/28/2022 18:27,0:11
66,7/30/2022 9:26,7/30/2022 10:10,0:44
67,7/30/2022 16:04,7/30/2022 16:17,0:13
68,7/31/2022 8:16,7/31/2022 8:44,0:28
69,7/31/2022 9:08,7/31/2022 9:27,0:19
70,7/31/2022 9:38,7/31/2022 10:35,0:57
71,7/31/2022 10:38,7/31/2022 11:00,0:22
72,7/31/2022 14:53,7/31/2022 15:13,0:20
73,7/31/2022 17:21,7/31/2022 18:09,0:48
74,8/1/2022 9:35,8/1/2022 9:42,0:07
75,8/1/2022 9:46,8/1/2022 10:45,0:59
76,8/1/2022 10:57,8/1/2022 11:43,0:46
77,8/1/2022 13:19,8/1/2022 13:48,0:29
78,8/1/2022 13:52,8/1/2022 14:38,0:46
79,8/2/2022 9:01,8/2/2022 9:39,0:38
80,8/2/2022 9:45,8/2/2022 10:09,0:24
81,8/2/2022 15:44,8/2/2022 17:19,1:35
82,8/3/2022 7:03,8/3/2022 8:14,1:11
83,8/3/2022 9:36,8/3/2022 10:12,0:36
84,8/3/2022 10:16,8/3/2022 10:30,0:14
85,8/3/2022 10:33,8/3/2022 10:56,0:23
86,8/3/2022 12:48,8/3/2022 13:47,0:59
87,8/4/2022 9:59,8/4/2022 11:08,1:09
88,8/14/2022 10:14,8/14/2022 12:23,2:09
89,8/14/2022 16:41,8/14/2022 18:12,1:31
90,8/15/2022 9:00,8/15/2022 9:21,0:21
91,8/15/2022 9:28,8/15/2022 9:46,0:18
92,8/15/2022 9:52,8/15/2022 10:16,0:24
93,8/15/2022 11:15,8/15/2022 14:49,3:34
94,8/15/2022 15:23,8/15/2022 17:26,2:03
95,8/16/2022 7:07,8/16/2022 8:27,1:20
96,8/16/2022 8:47,8/16/2022 10:21,1:34
97,8/16/2022 10:33,8/16/2022 11:47,1:14
98,8/16/2022 14:26,8/16/2022 15:47,1:21
99,8/17/2022 7:55,8/17/2022 8:26,0:31
100,8/17/2022 8:45,8/17/2022 10:20,1:35
101,8/17/2022 10:44,8/17/2022 11:47,1:03
102,8/17/2022 11:53,8/17/2022 12:24,0:31
103,8/17/2022 12:46,8/17/2022 13:35,0:49
104,8/17/2022 13:40,8/17/2022 14:07,0:27
105,8/17/2022 15:07,8/17/2022 15:43,0:36
106,8/17/2022 16:00,8/17/2022 16:15,0:15
107,8/17/2022 16:49,8/17/2022 18:10,1:21
108,8/18/2022 7:50,8/18/2022 8:14,0:24
109,8/18/2022 14:45,8/18/2022 15:36,0:51
110,8/18/2022 16:37,8/18/2022 17:48,1:11
111,8/19/2022 5:20,8/19/2022 8:16,2:56
112,8/19/2022 9:01,8/19/2022 9:15,0:14
113,8/19/2022 10:09,8/19/2022 10:50,0:41
114,8/19/2022 14:11,8/19/2022 14:57,0:46
115,8/19/2022 16:08,8/19/2022 18:03,1:55
116,8/19/2022 18:06,8/19/2022 19:00,0:54
117,8/20/2022 11:19,8/20/2022 12:10,0:51
118,8/20/2022 12:16,8/20/2022 13:12,0:56
119,8/20/2022 13:35,8/20/2022 14:34,0:59
120,8/20/2022 15:08,8/20/2022 15:38,0:30
121,8/21/2022 7:30,8/21/2022 11:09,3:39
122,8/21/2022 11:29,8/21/2022 12:31,1:02
123,8/21/2022 16:13,8/21/2022 17:03,0:50
124,8/21/2022 17:27,8/21/2022 19:05,1:38
125,8/22/2022 9:34,8/22/2022 10:59,1:25
126,8/22/2022 11:19,8/22/2022 11:51,0:32
127,8/22/2022 12:02,8/22/2022 12:49,0:47
128,8/22/2022 13:24,8/22/2022 14:40,1:16
129,8/22/2022 16:52,8/22/2022 20:00,3:08
130,8/23/2022 9:33,8/23/2022 9:51,0:18
131,8/23/2022 14:59,8/23/2022 16:37,1:38
132,8/23/2022 17:16,8/23/2022 17:54,0:38
133,8/23/2022 17:56,8/23/2022 18:25,0:29
134,8/24/2022 6:20,8/24/2022 7:50,1:30
135,8/24/2022 9:22,8/24/2022 11:01,1:39
136,8/24/2022 12:35,8/24/2022 14:11,1:36
137,8/24/2022 15:10,8/24/2022 15:58,0:48
138,8/24/2022 16:13,8/24/2022 17:05,0:52
139,8/24/2022 17:15,8/24/2022 18:21,1:06
140,8/25/2022 5:51,8/25/2022 7:49,1:58
141,8/25/2022 9:36,8/25/2022 10:55,1:19
142,8/25/2022 10:14,8/25/2022 10:50,0:36
143,8/25/2022 15:19,8/25/2022 16:58,1:39
144,8/25/2022 17:28,8/25/2022 18:18,0:50
145,8/26/2022 6:50,8/26/2022 8:23,1:33
